GeneID,2369,2MA22,33-16,38-11,793,DK3IBZ2
Zm00001eb001440_T001,0.0382183,0.0915249,0.0,0.2029,0.0348389,0.249738
Zm00001eb001460_T001,0.193344,0.213521,0.122946,0.411312,0.623319,0.485391
Zm00001eb001470_T001,10.3607,11.6691,9.28035,13.3841,9.81921,15.1572
Zm00001eb001480_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001490_T005,23.7022,13.845,15.8244,7.21545,17.1136,8.15508
Zm00001eb001500_T008,6.06211,8.45106,7.24517,10.359,4.852,14.9727
Zm00001eb001510_T002,0.973572,0.174929,0.268296,1.44608,0.577002,0.424331
Zm00001eb001520_T001,2.4186,0.265031,0.606052,0.0,3.01936,3.13812
Zm00001eb001530_T001,11.9295,12.0377,22.3344,1.48011,9.08372,12.75
Zm00001eb001550_T001,0.0343075,0.0,0.0,0.0,0.0,0.0
Zm00001eb001560_T001,6.59853,7.90937,3.52569,2.92475,1.84256,3.01069
Zm00001eb001570_T001,18.7089,14.4378,18.2606,24.4015,16.4806,27.3114
Zm00001eb001580_T001,0.0,0.0,0.0,0.0,0.287337,0.0
Zm00001eb001590_T001,14.7356,21.9698,6.61188,6.2204,3.01972,7.07747
Zm00001eb001600_T001,3.8014,2.87269,1.30947,4.61047,1.69165,1.7749
Zm00001eb001610_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001620_T001,0.0,0.0,0.424067,0.0,0.0,0.0
Zm00001eb001630_T002,0.115472,0.138363,0.0,0.244853,0.0,0.314688
Zm00001eb001640_T001,95.0149,159.527,73.5243,144.931,64.9147,186.125
Zm00001eb001650_T005,213.921,236.476,253.217,231.145,256.877,195.214
Zm00001eb001660_T001,0.0,0.0,0.15429,0.118208,0.0,0.0
Zm00001eb001670_T006,37.1205,13.4769,38.3847,18.3486,38.0536,15.0481
Zm00001eb001680_T001,87.9557,97.5611,118.788,54.2453,95.57,63.7778
Zm00001eb001690_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001700_T001,8.81441,9.22524,7.02597,27.1523,4.10074,7.92367
Zm00001eb001710_T001,7.76131,7.21798,11.2872,7.98862,9.74766,7.38597
